date,Open,High,Low,Close,Volume
1998-01-02,65.95577935631835,66.1887299162645,65.42623535723196,66.12522259165888,2360900.0
1998-01-05,66.31581234276996,66.7182739153509,65.59567859257257,66.2734515339348,4191800.0
1998-01-06,65.91341854748316,65.93456506325376,65.19328479728574,65.21443131305631,3154900.0
1998-01-07,65.12970969538601,65.55331778373741,64.53665837169399,65.38387454839683,4424200.0
1998-01-08,65.27800641495601,65.27800641495601,64.64259428242889,64.81203751776944,3831000.0
1998-01-09,64.55787266475862,64.72731590009914,62.291535503431376,62.56691464950686,10258800.0
1998-01-12,61.76205928163913,63.83773891456122,61.61376256206908,63.71065648805571,12097900.0
1998-01-13,64.13426457640712,64.64259428242889,63.85888543033163,64.60023347359375,5224900.0
1998-01-14,64.85439832660461,65.0449880777157,64.19777190101286,64.89675913543977,3770400.0
1998-01-15,64.72731590009914,64.89675913543977,64.2613470029126,64.35664187846812,2875400.0
1998-01-16,65.2356456061209,65.53217126796687,64.83318403354001,65.27800641495601,4374800.0
1998-01-20,65.53217126796687,66.43232151139013,65.40508884146145,66.33702663583462,5091700.0
1998-01-21,65.89220425441854,66.2099442093292,65.17207050422113,65.70161450330751,4699400.0
1998-01-22,65.17207050422113,65.65925369447233,64.98148075311002,65.11913643750071,4543400.0
1998-01-23,65.40508884146145,65.59567859257257,64.38842942941805,65.02384156194519,6350300.0
1998-01-26,65.32036722379118,65.56389104162267,64.66374079819944,64.98148075311002,4362900.0
1998-01-27,64.93911994427488,66.0828617828238,64.83318403354001,65.63803940140767,7044200.0
1998-01-28,66.019286680924,66.4958288359958,65.87105773864806,66.23109072509969,4268600.0
1998-01-29,66.31581234276996,67.48076847438357,66.12522259165888,66.59119148884551,8007700.0
1998-01-30,66.95122447529717,67.07830690180253,66.4217482535049,66.63355229768061,3649100.0
1998-02-02,67.71371903432969,68.11618060691062,67.60785090088895,67.73493332739427,5756300.0
1998-02-03,67.77729413622951,68.32798465108638,67.58663660782423,68.24326303341611,2759600.0
1998-02-04,67.96788388734055,68.5609352110326,67.73493332739427,68.1585414157458,3374000.0
